HRV Stress Base Stilte Muziek TempoMuziek
79.09262201459032 1 0 0 0 0
78.62705822879478 1 0 0 0 0
88.02285958501808 1 0 0 0 0
79.54361097229386 1 0 0 0 0
80.51160815447079 1 0 0 0 0
91.76068469564704 1 0 0 0 0
89.58076962001546 1 0 0 0 0
92.05711068628527 1 0 1 0 0
79.77264204352674 0 0 1 0 0
107.01434374625609 0 0 1 0 0
80.3249215577321 0 0 1 0 0
101.93714640984325 0 0 1 0 0
90.56376457803339 0 0 1 0 0
110.06764449026954 0 0 1 0 0
76.50505033834516 0 0 1 0 0
79.25118295647076 0 0 1 0 0
102.6513295313093 0 0 1 0 0
85.84261497330183 0 0 1 0 0
75.61174752402145 0 0 1 0 0
85.25336570268861 0 0 1 0 0
83.11150779087531 0 0 1 0 0
83.60078294544202 0 0 1 0 0
86.03255197888762 0 0 1 0 0
75.7345843900082 0 0 1 0 0
75.84388870927872 0 0 1 0 0
93.78578105060878 0 0 1 0 0
75.09357798470822 0 0 1 0 0
257.80022411851303 0 0 1 0 0
277.17220607085017 0 0 1 0 0
52.600553056200674 0 0 1 0 0
90.6656542995484 0 0 1 0 0
129.9084292877102 0 0 1 0 0
82.37421387249235 0 0 1 0 0
92.26640173372368 0 0 1 0 0
118.92509313756192 0 0 1 0 0
89.01385659922093 0 0 1 0 0
104.61495537870715 0 0 1 0 0
89.71721004232008 0 0 1 0 0
85.25412990973908 0 0 1 0 0
85.76195914485417 0 0 1 0 0
86.5625102559889 0 0 1 0 0
86.02203611676731 0 0 1 0 0
93.50823866202602 0 0 1 0 0
96.57085602063461 0 0 1 0 0
91.19605764632897 0 0 1 0 0
93.76120088126898 0 0 1 0 0
101.48275715608047 0 0 1 0 0
92.91075874681624 0 0 1 0 0
86.36402136333457 0 0 1 0 0
86.70921734217778 0 0 1 0 0
115.17140435434649 0 0 1 0 0
102.36012523485519 0 0 1 0 0
94.47587245530192 0 0 1 0 0
86.81671991697715 0 0 1 0 0
104.72469577306923 0 0 1 0 0
89.37361387536512 0 0 1 0 0
89.26818875618304 0 0 1 0 0
102.85438157669225 0 0 1 0 0
214.29680130048382 0 0 1 0 0
